area,time,手机银行,精准营销,电子商务,在线理财,网联
河北,2019-06-01,241,57,335,0,0
河北,2019-06-02,235,61,313,0,59
河北,2019-06-03,257,57,367,0,59
河北,2019-06-04,270,57,362,0,57
河北,2019-06-05,270,57,302,0,60
河北,2019-06-06,222,57,336,0,0
河北,2019-06-07,166,57,278,0,0
河北,2019-06-08,171,0,295,0,0
河北,2019-06-09,184,117,334,0,0
河北,2019-06-10,272,60,458,0,118
河北,2019-06-11,277,60,465,0,126
河北,2019-06-12,208,120,397,0,58
河北,2019-06-13,189,115,387,0,59
河北,2019-06-14,304,57,452,0,57
河北,2019-06-15,257,57,384,0,63
河北,2019-06-16,196,0,423,0,0
河北,2019-06-17,274,57,462,0,58
河北,2019-06-18,282,60,431,0,115
河北,2019-06-19,271,119,507,0,57
河北,2019-06-20,214,0,516,0,118
河北,2019-06-21,259,58,488,0,58
河北,2019-06-22,168,118,518,0,114
河北,2019-06-23,163,57,1039,0,60
河北,2019-06-24,265,117,1258,0,0
河北,2019-06-25,262,114,1268,0,122
河北,2019-06-26,220,117,1167,0,57
河北,2019-06-27,237,119,1017,0,119
河北,2019-06-28,264,0,654,0,114
河北,2019-06-29,195,115,584,0,60
河北,2019-06-30,275,58,631,0,0
河北,2019-07-01,279,59,901,0,120
河北,2019-07-02,244,120,990,0,59
河北,2019-07-03,264,60,865,0,57
河北,2019-07-04,285,61,834,0,115
河北,2019-07-05,297,57,709,0,60
河北,2019-07-06,201,0,690,59,0
河北,2019-07-07,240,57,617,0,115
河北,2019-07-08,215,0,613,0,57
河北,2019-07-09,302,0,625,0,59
河北,2019-07-10,300,0,601,0,67
河北,2019-07-11,283,116,607,0,117
河北,2019-07-12,280,116,603,0,118
河北,2019-07-13,195,61,582,57,0
河北,2019-07-14,237,59,620,0,114
河北,2019-07-15,287,57,623,0,0
河北,2019-07-16,240,0,654,61,59
河北,2019-07-17,253,0,689,0,0
河北,2019-07-18,257,61,761,0,61
河北,2019-07-19,249,0,970,0,114
河北,2019-07-20,254,57,1063,0,0
河北,2019-07-21,227,59,1384,0,0
河北,2019-07-22,257,115,1244,0,57
河北,2019-07-23,240,0,918,0,57
河北,2019-07-24,231,61,445,0,63
河北,2019-07-25,238,58,475,0,58
河北,2019-07-26,265,63,586,0,59
河北,2019-07-27,247,64,838,0,57
河北,2019-07-28,192,117,978,0,57
河北,2019-07-29,259,117,798,0,117
河北,2019-07-30,267,57,828,0,0
河北,2019-07-31,289,126,829,0,57
河北,2019-08-01,281,114,1017,0,115
河北,2019-08-02,208,0,1323,0,57
河北,2019-08-03,266,115,1095,0,0
河北,2019-08-04,243,57,363,0,57
河北,2019-08-05,279,0,371,0,57
河北,2019-08-06,201,60,303,0,57
河北,2019-08-07,294,59,295,0,57
河北,2019-08-08,263,115,307,0,60
河北,2019-08-09,287,60,330,0,57
河北,2019-08-10,268,114,329,0,118
河北,2019-08-11,259,59,392,0,57
河北,2019-08-12,284,60,655,0,0
河北,2019-08-13,267,58,786,0,57
河北,2019-08-14,292,57,381,0,0
河北,2019-08-15,280,114,419,0,115
河北,2019-08-16,271,119,363,0,120
河北,2019-08-17,257,59,366,57,57
河北,2019-08-18,251,0,277,0,57
河北,2019-08-19,316,57,338,0,57
河北,2019-08-20,320,127,345,0,0
河北,2019-08-21,296,58,301,0,120
河北,2019-08-22,274,118,311,0,59
河北,2019-08-23,377,57,321,0,119
河北,2019-08-24,317,57,310,0,0
河北,2019-08-25,311,114,327,0,0
河北,2019-08-26,253,58,428,0,0
河北,2019-08-27,323,139,391,0,57
河北,2019-08-28,325,123,347,0,0
河北,2019-08-29,332,114,355,0,116
河北,2019-08-30,236,122,317,0,0
河北,2019-08-31,318,79,341,0,0
河北,2019-09-01,221,118,362,0,0
河北,2019-09-02,321,57,428,0,0
河北,2019-09-03,311,138,407,0,61
河北,2019-09-04,219,135,315,0,0
河北,2019-09-05,288,76,326,0,57
河北,2019-09-06,279,93,330,0,58
河北,2019-09-07,277,78,245,57,0
河北,2019-09-08,202,58,235,0,0
河北,2019-09-09,212,76,323,0,57
河北,2019-09-10,198,58,287,0,57
河北,2019-09-11,212,57,228,57,57
河北,2019-09-12,284,86,221,0,0
河北,2019-09-13,203,0,222,0,57
河北,2019-09-14,195,60,261,57,0
河北,2019-09-15,250,120,256,0,58
河北,2019-09-16,252,0,258,0,59
河北,2019-09-17,265,57,279,0,59
河北,2019-09-18,260,117,220,0,57
河北,2019-09-19,186,58,175,0,0
河北,2019-09-20,279,0,171,0,63
河北,2019-09-21,212,58,134,0,0
河北,2019-09-22,246,71,152,0,60
河北,2019-09-23,189,61,252,59,0
河北,2019-09-24,261,69,252,0,0
河北,2019-09-25,211,146,282,0,58
河北,2019-09-26,271,67,188,0,114
河北,2019-09-27,250,120,205,0,58
河北,2019-09-28,252,124,157,0,0
河北,2019-09-29,253,122,126,0,57
河北,2019-09-30,218,117,169,0,0
河北,2019-10-01,173,60,159,0,0
河北,2019-10-02,171,0,151,0,114
河北,2019-10-03,174,57,148,0,0
河北,2019-10-04,212,0,130,0,57
河北,2019-10-05,165,60,145,57,0
河北,2019-10-06,165,118,167,0,57
河北,2019-10-07,234,57,245,0,0
河北,2019-10-08,174,66,244,0,117
河北,2019-10-09,209,63,258,0,58
河北,2019-10-10,182,122,190,0,115
河北,2019-10-11,195,63,150,0,57
河北,2019-10-12,168,65,212,57,0
河北,2019-10-13,163,0,223,0,57
河北,2019-10-14,165,58,184,0,57
河北,2019-10-15,246,122,205,0,58
河北,2019-10-16,243,118,237,0,58
河北,2019-10-17,187,117,239,0,0
河北,2019-10-18,185,117,167,0,57
河北,2019-10-19,178,0,176,0,57
河北,2019-10-20,171,57,224,0,0
河北,2019-10-21,263,66,256,0,57
河北,2019-10-22,276,76,240,0,0
河北,2019-10-23,269,130,137,0,57
河北,2019-10-24,259,58,168,0,60
河北,2019-10-25,189,0,252,0,57
河北,2019-10-26,183,74,195,0,0
河北,2019-10-27,171,61,170,0,0
河北,2019-10-28,184,123,209,0,114
河北,2019-10-29,185,66,250,0,0
河北,2019-10-30,251,57,191,0,57
河北,2019-10-31,193,61,147,0,57
河北,2019-11-01,250,0,145,0,59
河北,2019-11-02,231,60,142,0,57
河北,2019-11-03,229,0,143,0,57
河北,2019-11-04,238,0,224,0,0
河北,2019-11-05,249,61,277,0,63
河北,2019-11-06,177,117,246,57,57
河北,2019-11-07,238,78,153,0,0
河北,2019-11-08,189,71,210,0,58
河北,2019-11-09,231,67,250,0,57
河北,2019-11-10,242,57,209,0,123
河北,2019-11-11,186,76,235,57,104
河北,2019-11-12,269,124,238,0,117
河北,2019-11-13,244,66,238,0,137
河北,2019-11-14,257,70,251,0,132
河北,2019-11-15,265,61,228,0,133
河北,2019-11-16,240,57,242,0,127
河北,2019-11-17,240,124,194,0,57
河北,2019-11-18,180,57,236,0,0
河北,2019-11-19,255,117,243,0,58
河北,2019-11-20,251,0,221,0,117
河北,2019-11-21,263,66,256,0,115
河北,2019-11-22,264,61,238,0,119
河北,2019-11-23,243,57,193,0,57
河北,2019-11-24,182,63,211,0,114
河北,2019-11-25,250,60,219,0,60
河北,2019-11-26,249,63,267,0,61
河北,2019-11-27,258,78,270,0,115
河北,2019-11-28,248,114,252,0,117
河北,2019-11-29,242,70,255,0,58
河北,2019-11-30,206,58,224,0,0
河北,2019-12-01,254,57,231,0,61
河北,2019-12-02,247,63,241,0,120
河北,2019-12-03,253,58,228,0,117
河北,2019-12-04,237,71,235,0,0
河北,2019-12-05,281,63,245,0,114
河北,2019-12-06,206,63,190,0,117
河北,2019-12-07,199,61,208,0,57
河北,2019-12-08,251,60,253,0,0
河北,2019-12-09,254,67,267,0,57
河北,2019-12-10,288,122,236,0,0
河北,2019-12-11,247,70,263,0,118
河北,2019-12-12,241,67,232,0,58
河北,2019-12-13,185,61,257,0,0
河北,2019-12-14,254,83,245,0,0
河北,2019-12-15,244,65,240,0,0
河北,2019-12-16,249,65,250,0,57
河北,2019-12-17,265,66,271,0,58
河北,2019-12-18,254,126,304,0,57
河北,2019-12-19,257,69,233,0,57
河北,2019-12-20,245,61,219,0,61
河北,2019-12-21,173,61,250,58,0
河北,2019-12-22,159,78,255,0,0
河北,2019-12-23,242,67,319,0,59
河北,2019-12-24,262,60,295,0,121
河北,2019-12-25,195,118,269,0,0
河北,2019-12-26,190,122,273,0,0
河北,2019-12-27,275,118,266,0,114
河北,2019-12-28,181,57,191,0,57
河北,2019-12-29,167,60,198,0,0
河北,2019-12-30,271,65,275,0,57
河北,2019-12-31,204,115,247,0,0
河北,2020-01-01,274,65,229,0,0
河北,2020-01-02,184,65,243,0,57
河北,2020-01-03,199,118,256,0,0
河北,2020-01-04,232,58,181,0,61
河北,2020-01-05,225,66,166,0,0
河北,2020-01-06,234,66,249,0,0
河北,2020-01-07,193,70,217,0,63
河北,2020-01-08,177,122,228,0,0
河北,2020-01-09,212,66,250,0,58
河北,2020-01-10,256,117,240,0,114
河北,2020-01-11,240,69,206,0,60
河北,2020-01-12,247,71,176,0,58
河北,2020-01-13,255,117,202,0,57
河北,2020-01-14,252,71,188,0,57
河北,2020-01-15,279,65,194,0,58
河北,2020-01-16,193,61,196,0,0
河北,2020-01-17,281,57,171,0,57
河北,2020-01-18,284,0,183,0,114
河北,2020-01-19,229,128,187,0,57
河北,2020-01-20,221,60,184,0,0
河北,2020-01-21,349,59,174,0,114
河北,2020-01-22,269,60,150,0,0
河北,2020-01-23,331,60,100,0,0
河北,2020-01-24,244,63,127,0,0
河北,2020-01-25,138,78,113,0,0
河北,2020-01-26,208,0,108,0,0
河北,2020-01-27,134,93,180,0,0
河北,2020-01-28,202,66,185,0,67
河北,2020-01-29,132,78,210,0,58
河北,2020-01-30,117,80,195,0,61
河北,2020-01-31,181,79,206,0,0
河北,2020-02-01,157,65,204,0,114
河北,2020-02-02,188,76,219,0,0
河北,2020-02-03,135,205,230,0,117
河北,2020-02-04,191,60,224,0,63
河北,2020-02-05,155,134,230,0,120
河北,2020-02-06,218,124,240,0,0
河北,2020-02-07,221,0,228,0,64
河北,2020-02-08,220,139,203,0,57
河北,2020-02-09,145,78,233,0,0
河北,2020-02-10,220,66,239,0,0
河北,2020-02-11,139,124,281,0,60
河北,2020-02-12,195,67,243,0,118
河北,2020-02-13,147,139,285,0,0
河北,2020-02-14,163,93,218,0,57
河北,2020-02-15,216,96,246,0,58
河北,2020-02-16,216,70,283,0,57
河北,2020-02-17,193,127,302,0,0
河北,2020-02-18,161,141,294,0,0
河北,2020-02-19,217,121,313,0,59
河北,2020-02-20,208,61,309,0,59
河北,2020-02-21,144,0,284,0,0
河北,2020-02-22,198,0,253,0,0
河北,2020-02-23,132,128,289,0,0
河北,2020-02-24,220,69,306,0,0
河北,2020-02-25,219,119,337,0,57
河北,2020-02-26,170,120,332,0,116
河北,2020-02-27,235,122,276,0,57
河北,2020-02-28,237,57,397,0,0
河北,2020-02-29,170,57,336,0,119
河北,2020-03-01,229,60,306,0,57
河北,2020-03-02,233,57,390,0,57
河北,2020-03-03,171,114,344,0,0
河北,2020-03-04,223,57,325,0,116
河北,2020-03-05,231,134,335,0,114
河北,2020-03-06,165,86,296,0,57
河北,2020-03-07,220,67,275,0,58
河北,2020-03-08,202,148,254,0,0
河北,2020-03-09,165,73,313,0,61
河北,2020-03-10,176,124,255,0,64
河北,2020-03-11,242,71,267,0,63
河北,2020-03-12,173,133,298,0,127
河北,2020-03-13,222,118,324,0,59
河北,2020-03-14,200,58,294,0,0
河北,2020-03-15,208,120,238,57,0
河北,2020-03-16,238,58,275,57,59
河北,2020-03-17,252,57,266,0,60
河北,2020-03-18,235,123,252,0,61
河北,2020-03-19,225,66,263,0,0
河北,2020-03-20,174,124,256,0,61
河北,2020-03-21,218,120,256,0,0
河北,2020-03-22,229,115,247,0,0
河北,2020-03-23,173,73,263,0,0
河北,2020-03-24,227,79,267,0,61
河北,2020-03-25,221,133,284,0,0
河北,2020-03-26,249,63,294,0,57
河北,2020-03-27,186,58,264,0,57
河北,2020-03-28,154,127,256,0,0
河北,2020-03-29,211,57,223,0,0
河北,2020-03-30,192,71,260,0,115
河北,2020-03-31,250,78,279,0,0
河北,2020-04-01,190,124,282,0,0
河北,2020-04-02,211,69,336,0,57
河北,2020-04-03,155,118,242,0,57
河北,2020-04-04,152,63,251,0,0
