area,time,移动支付,网上银行,电子银行,网银,互联网理财
北京,2018-07-25,143,304,127,190,124
北京,2018-07-26,176,259,78,208,114
北京,2018-07-27,136,267,122,198,61
北京,2018-07-28,140,194,119,176,117
北京,2018-07-29,132,205,120,176,120
北京,2018-07-30,145,233,124,210,121
北京,2018-07-31,173,257,132,215,115
北京,2018-08-01,148,330,118,214,57
北京,2018-08-02,171,248,115,231,128
北京,2018-08-03,169,230,129,215,64
北京,2018-08-04,128,228,115,186,59
北京,2018-08-05,138,199,63,174,119
北京,2018-08-06,161,275,131,228,126
北京,2018-08-07,172,259,123,224,130
北京,2018-08-08,158,270,124,197,58
北京,2018-08-09,154,236,124,205,123
北京,2018-08-10,179,239,136,215,119
北京,2018-08-11,150,199,65,184,121
北京,2018-08-12,139,230,122,176,0
北京,2018-08-13,157,267,128,205,151
北京,2018-08-14,181,282,135,221,74
北京,2018-08-15,211,250,134,224,115
北京,2018-08-16,191,255,124,198,156
北京,2018-08-17,174,223,132,199,59
北京,2018-08-18,142,197,122,188,57
北京,2018-08-19,131,200,65,178,95
北京,2018-08-20,185,284,134,225,132
北京,2018-08-21,192,250,132,224,139
北京,2018-08-22,173,272,145,227,87
北京,2018-08-23,160,263,128,221,59
北京,2018-08-24,163,253,136,208,122
北京,2018-08-25,135,204,124,193,57
北京,2018-08-26,135,240,123,196,57
北京,2018-08-27,167,294,124,212,64
北京,2018-08-28,187,268,133,202,63
北京,2018-08-29,173,260,129,236,124
北京,2018-08-30,173,260,122,219,60
北京,2018-08-31,163,244,126,198,66
北京,2018-09-01,147,236,60,169,0
北京,2018-09-02,139,223,117,178,0
北京,2018-09-03,158,306,126,230,141
北京,2018-09-04,170,300,120,215,121
北京,2018-09-05,177,261,125,208,120
北京,2018-09-06,173,354,127,195,61
北京,2018-09-07,167,246,129,205,117
北京,2018-09-08,153,220,124,167,118
北京,2018-09-09,153,239,127,164,143
北京,2018-09-10,171,255,124,186,128
北京,2018-09-11,157,267,137,214,146
北京,2018-09-12,163,237,127,197,158
北京,2018-09-13,159,235,149,218,72
北京,2018-09-14,166,230,128,207,70
北京,2018-09-15,69,238,127,193,63
北京,2018-09-16,151,187,134,179,80
北京,2018-09-17,151,270,137,222,85
北京,2018-09-18,177,265,129,210,158
北京,2018-09-19,137,211,57,154,57
北京,2018-09-20,127,223,63,178,57
北京,2018-09-21,126,207,60,167,121
北京,2018-09-22,134,194,124,170,139
北京,2018-09-23,134,180,120,179,120
北京,2018-09-24,145,189,69,175,83
北京,2018-09-25,127,244,61,202,57
北京,2018-09-26,152,249,65,208,60
北京,2018-09-27,139,225,63,179,64
北京,2018-09-28,132,259,122,181,114
北京,2018-09-29,142,206,118,202,68
北京,2018-09-30,128,202,126,178,117
北京,2018-10-01,128,183,60,164,114
北京,2018-10-02,139,181,63,151,57
北京,2018-10-03,141,183,60,160,0
北京,2018-10-04,128,166,120,160,118
北京,2018-10-05,126,177,58,154,0
北京,2018-10-06,132,185,122,158,57
北京,2018-10-07,154,181,124,159,0
北京,2018-10-08,161,228,130,216,114
北京,2018-10-09,170,272,130,202,114
北京,2018-10-10,175,246,138,212,57
北京,2018-10-11,187,246,70,215,118
北京,2018-10-12,139,231,139,204,0
北京,2018-10-13,130,212,65,175,118
北京,2018-10-14,180,193,124,154,58
北京,2018-10-15,153,228,130,176,63
北京,2018-10-16,161,242,135,197,114
北京,2018-10-17,148,247,134,201,117
北京,2018-10-18,148,239,124,203,114
北京,2018-10-19,166,231,61,194,57
北京,2018-10-20,134,195,126,190,0
北京,2018-10-21,159,198,65,191,57
北京,2018-10-22,158,243,130,192,59
北京,2018-10-23,169,232,129,210,116
北京,2018-10-24,153,256,122,186,120
北京,2018-10-25,175,287,122,173,59
北京,2018-10-26,147,229,124,175,126
北京,2018-10-27,148,229,121,181,123
北京,2018-10-28,160,203,119,161,127
北京,2018-10-29,163,211,122,169,74
北京,2018-10-30,185,247,128,183,57
北京,2018-10-31,165,236,129,188,118
北京,2018-11-01,166,263,122,196,61
北京,2018-11-02,160,257,127,169,115
北京,2018-11-03,133,190,58,149,0
北京,2018-11-04,132,182,120,151,59
北京,2018-11-05,176,192,123,165,119
北京,2018-11-06,186,202,124,184,115
北京,2018-11-07,166,211,123,202,63
北京,2018-11-08,186,188,119,180,59
北京,2018-11-09,157,183,118,169,57
北京,2018-11-10,131,176,57,169,0
北京,2018-11-11,146,174,127,189,59
北京,2018-11-12,195,185,123,171,59
北京,2018-11-13,179,206,125,182,59
北京,2018-11-14,171,236,61,205,118
北京,2018-11-15,175,205,124,195,118
北京,2018-11-16,154,210,123,162,116
北京,2018-11-17,144,185,57,157,57
北京,2018-11-18,143,191,118,139,57
北京,2018-11-19,173,227,126,208,57
北京,2018-11-20,164,220,126,162,59
北京,2018-11-21,159,230,125,170,61
北京,2018-11-22,163,199,121,167,57
北京,2018-11-23,149,212,117,192,114
北京,2018-11-24,131,184,61,148,115
北京,2018-11-25,139,171,124,148,114
北京,2018-11-26,171,245,131,173,57
北京,2018-11-27,183,234,129,186,63
北京,2018-11-28,196,220,134,173,0
北京,2018-11-29,160,201,115,177,57
北京,2018-11-30,158,206,116,193,57
北京,2018-12-01,134,176,118,173,57
北京,2018-12-02,150,190,117,157,0
北京,2018-12-03,165,192,124,182,57
北京,2018-12-04,161,198,131,188,0
北京,2018-12-05,140,215,57,204,115
北京,2018-12-06,158,166,122,184,61
北京,2018-12-07,148,175,118,174,0
北京,2018-12-08,135,154,58,150,114
北京,2018-12-09,127,154,57,73,0
北京,2018-12-10,145,227,133,177,59
北京,2018-12-11,156,212,59,186,64
北京,2018-12-12,185,240,130,182,0
北京,2018-12-13,181,206,121,193,0
北京,2018-12-14,158,190,125,182,61
北京,2018-12-15,1032,159,57,158,57
北京,2018-12-16,397,163,117,161,122
北京,2018-12-17,299,216,121,190,66
北京,2018-12-18,216,212,121,173,66
北京,2018-12-19,205,209,114,172,116
北京,2018-12-20,159,214,126,199,57
北京,2018-12-21,163,193,58,212,61
北京,2018-12-22,148,176,60,148,57
北京,2018-12-23,143,167,120,148,59
北京,2018-12-24,158,212,126,176,59
北京,2018-12-25,153,219,120,174,57
北京,2018-12-26,156,197,118,189,57
北京,2018-12-27,199,194,122,177,59
北京,2018-12-28,157,203,118,188,0
北京,2018-12-29,183,189,118,167,61
北京,2018-12-30,128,176,117,157,0
北京,2018-12-31,138,153,57,151,57
北京,2019-01-01,165,159,0,157,114
北京,2019-01-02,204,201,123,181,57
北京,2019-01-03,178,183,126,180,117
北京,2019-01-04,144,188,116,204,124
北京,2019-01-05,155,166,118,155,58
北京,2019-01-06,139,182,120,152,57
北京,2019-01-07,165,200,129,198,114
北京,2019-01-08,152,229,121,190,114
北京,2019-01-09,162,196,114,175,83
北京,2019-01-10,146,245,120,199,61
北京,2019-01-11,156,198,117,165,118
北京,2019-01-12,127,168,120,157,61
北京,2019-01-13,125,173,118,150,0
北京,2019-01-14,153,201,126,195,59
北京,2019-01-15,148,191,124,189,116
北京,2019-01-16,150,186,63,189,59
北京,2019-01-17,151,209,131,178,61
北京,2019-01-18,131,197,0,191,59
北京,2019-01-19,122,173,60,161,63
北京,2019-01-20,132,143,117,154,57
北京,2019-01-21,143,186,130,190,115
北京,2019-01-22,144,178,122,171,57
北京,2019-01-23,154,198,118,198,57
北京,2019-01-24,164,179,120,199,57
北京,2019-01-25,130,233,124,167,0
北京,2019-01-26,130,188,119,167,63
北京,2019-01-27,139,157,59,155,0
北京,2019-01-28,147,188,115,185,117
北京,2019-01-29,155,173,120,177,0
北京,2019-01-30,131,199,118,187,57
北京,2019-01-31,135,217,115,174,0
北京,2019-02-01,66,208,121,168,128
北京,2019-02-02,123,195,0,152,57
北京,2019-02-03,124,176,61,143,57
北京,2019-02-04,66,154,114,153,0
北京,2019-02-05,58,156,0,133,0
北京,2019-02-06,57,143,0,73,0
北京,2019-02-07,118,151,58,142,0
北京,2019-02-08,123,157,60,146,0
北京,2019-02-09,119,154,57,142,0
北京,2019-02-10,0,149,0,141,0
北京,2019-02-11,139,161,116,178,0
北京,2019-02-12,130,202,121,181,61
北京,2019-02-13,150,185,123,178,57
北京,2019-02-14,146,206,117,171,114
北京,2019-02-15,153,237,117,198,118
北京,2019-02-16,129,197,59,158,59
北京,2019-02-17,136,176,57,153,57
北京,2019-02-18,152,229,133,193,0
北京,2019-02-19,154,212,57,195,120
北京,2019-02-20,143,203,0,200,68
北京,2019-02-21,165,227,126,202,0
北京,2019-02-22,154,227,57,201,0
北京,2019-02-23,128,189,120,166,57
北京,2019-02-24,140,182,117,145,57
北京,2019-02-25,175,203,127,184,60
北京,2019-02-26,183,221,125,200,120
北京,2019-02-27,191,200,123,185,117
北京,2019-02-28,164,224,131,172,121
北京,2019-03-01,169,245,128,181,57
北京,2019-03-02,128,170,122,181,57
北京,2019-03-03,138,172,69,157,57
北京,2019-03-04,178,234,126,180,59
北京,2019-03-05,153,216,121,184,59
北京,2019-03-06,150,206,126,178,57
北京,2019-03-07,165,240,124,178,57
北京,2019-03-08,150,228,120,178,114
北京,2019-03-09,138,180,63,171,0
北京,2019-03-10,145,196,121,200,57
北京,2019-03-11,170,226,68,180,59
北京,2019-03-12,158,207,129,196,64
北京,2019-03-13,152,225,131,179,57
北京,2019-03-14,161,189,135,148,61
北京,2019-03-15,160,212,126,148,57
北京,2019-03-16,141,180,124,83,57
北京,2019-03-17,150,195,119,148,59
北京,2019-03-18,145,223,63,150,57
北京,2019-03-19,169,236,63,167,114
北京,2019-03-20,159,242,118,154,57
北京,2019-03-21,145,229,119,147,119
北京,2019-03-22,131,199,126,89,0
北京,2019-03-23,126,179,119,84,0
北京,2019-03-24,156,188,65,154,119
北京,2019-03-25,148,254,128,144,57
北京,2019-03-26,144,207,122,157,124
北京,2019-03-27,177,231,125,150,0
北京,2019-03-28,154,216,120,163,0
北京,2019-03-29,150,228,135,148,61
北京,2019-03-30,168,195,59,151,57
北京,2019-03-31,149,173,57,159,114
北京,2019-04-01,139,195,60,166,0
北京,2019-04-02,140,231,124,149,0
北京,2019-04-03,160,216,126,154,117
北京,2019-04-04,144,197,124,148,0
北京,2019-04-05,123,163,57,136,60
北京,2019-04-06,130,170,117,84,58
北京,2019-04-07,150,158,115,87,57
北京,2019-04-08,160,220,120,159,118
北京,2019-04-09,167,235,57,159,118
北京,2019-04-10,168,243,122,169,57
北京,2019-04-11,156,216,125,171,0
北京,2019-04-12,135,184,124,146,0
北京,2019-04-13,133,169,118,152,58
北京,2019-04-14,122,182,119,150,57
北京,2019-04-15,159,207,126,150,115
北京,2019-04-16,153,227,123,153,57
北京,2019-04-17,167,208,118,147,0
北京,2019-04-18,149,193,126,155,0
北京,2019-04-19,142,190,126,155,61
北京,2019-04-20,149,180,115,156,0
北京,2019-04-21,63,171,114,89,0
北京,2019-04-22,161,199,120,165,59
北京,2019-04-23,163,200,127,154,61
北京,2019-04-24,157,204,120,152,61
北京,2019-04-25,151,225,124,151,0
北京,2019-04-26,148,230,130,146,0
北京,2019-04-27,137,193,117,153,0
北京,2019-04-28,145,189,119,157,0
北京,2019-04-29,136,199,124,147,57
北京,2019-04-30,141,207,130,109,0
北京,2019-05-01,65,160,0,83,0
北京,2019-05-02,124,171,63,140,0
北京,2019-05-03,131,157,115,148,57
北京,2019-05-04,127,169,57,95,0
北京,2019-05-05,147,210,61,159,57
北京,2019-05-06,143,203,122,161,59
北京,2019-05-07,224,216,64,80,114
北京,2019-05-08,167,213,118,161,118
北京,2019-05-09,147,188,118,150,114
北京,2019-05-10,142,223,0,158,59
北京,2019-05-11,129,172,114,91,57
北京,2019-05-12,147,170,57,95,58
北京,2019-05-13,177,186,117,133,60
北京,2019-05-14,155,201,127,149,0
北京,2019-05-15,139,214,129,152,0
北京,2019-05-16,153,212,123,167,57
北京,2019-05-17,143,179,121,153,57
北京,2019-05-18,136,174,61,154,0
北京,2019-05-19,132,184,114,95,59
北京,2019-05-20,132,202,66,148,114
北京,2019-05-21,144,205,61,155,61
北京,2019-05-22,150,199,130,149,0
北京,2019-05-23,143,188,121,159,0
