area,time,移动支付,网上银行,电子银行,网银,互联网理财
天津,2011-12-23,68,183,66,157,0
天津,2011-12-24,64,166,63,140,0
天津,2011-12-25,61,173,63,110,0
天津,2011-12-26,61,173,57,137,0
天津,2011-12-27,61,148,61,99,0
天津,2011-12-28,61,177,63,121,0
天津,2011-12-29,63,161,59,116,0
天津,2011-12-30,64,195,68,125,0
天津,2011-12-31,63,183,57,108,0
天津,2012-01-01,63,193,57,159,0
天津,2012-01-02,61,187,0,114,0
天津,2012-01-03,57,180,57,118,0
天津,2012-01-04,63,187,59,102,0
天津,2012-01-05,64,162,63,120,0
天津,2012-01-06,59,165,57,123,0
天津,2012-01-07,57,191,57,123,0
天津,2012-01-08,0,184,57,142,0
天津,2012-01-09,68,179,59,112,0
天津,2012-01-10,68,193,59,129,0
天津,2012-01-11,61,162,57,116,0
天津,2012-01-12,63,180,57,91,0
天津,2012-01-13,61,151,64,131,0
天津,2012-01-14,59,146,61,135,0
天津,2012-01-15,61,144,57,108,0
天津,2012-01-16,63,152,63,116,0
天津,2012-01-17,59,155,0,121,0
天津,2012-01-18,63,148,63,137,0
天津,2012-01-19,0,146,0,127,0
天津,2012-01-20,57,154,61,118,0
天津,2012-01-21,57,118,59,101,0
天津,2012-01-22,61,125,57,82,0
天津,2012-01-23,57,95,57,93,0
天津,2012-01-24,59,104,0,99,0
天津,2012-01-25,0,112,57,83,0
天津,2012-01-26,59,114,57,106,0
天津,2012-01-27,0,114,0,112,0
天津,2012-01-28,61,137,57,104,0
天津,2012-01-29,61,135,61,135,0
天津,2012-01-30,64,154,59,142,0
天津,2012-01-31,63,161,63,135,0
天津,2012-02-01,64,152,63,104,0
天津,2012-02-02,64,172,57,154,0
天津,2012-02-03,66,173,66,131,0
天津,2012-02-04,61,165,59,116,0
天津,2012-02-05,57,120,61,95,0
天津,2012-02-06,61,129,61,120,0
天津,2012-02-07,59,177,64,110,0
天津,2012-02-08,63,162,61,112,0
天津,2012-02-09,61,148,57,121,0
天津,2012-02-10,57,166,59,118,0
天津,2012-02-11,59,161,59,133,0
天津,2012-02-12,57,175,57,142,0
天津,2012-02-13,0,175,57,116,0
天津,2012-02-14,61,152,0,116,0
天津,2012-02-15,0,163,61,123,0
天津,2012-02-16,63,179,66,125,0
天津,2012-02-17,61,152,59,108,0
天津,2012-02-18,61,175,57,133,0
天津,2012-02-19,59,146,57,118,0
天津,2012-02-20,59,165,63,95,0
天津,2012-02-21,59,198,59,89,0
天津,2012-02-22,59,158,63,127,0
天津,2012-02-23,57,163,64,110,0
天津,2012-02-24,57,180,61,139,0
天津,2012-02-25,64,165,59,106,0
天津,2012-02-26,61,195,61,135,0
天津,2012-02-27,57,158,61,95,0
天津,2012-02-28,59,176,57,110,0
天津,2012-02-29,57,183,63,127,0
天津,2012-03-01,61,223,63,148,0
天津,2012-03-02,59,213,59,129,0
天津,2012-03-03,57,168,61,129,0
天津,2012-03-04,61,195,61,135,0
天津,2012-03-05,70,187,0,116,0
天津,2012-03-06,0,197,61,135,0
天津,2012-03-07,59,180,63,116,0
天津,2012-03-08,61,186,64,135,0
天津,2012-03-09,63,168,64,135,0
天津,2012-03-10,66,191,63,142,0
天津,2012-03-11,59,201,59,146,0
天津,2012-03-12,66,157,57,108,0
天津,2012-03-13,64,173,59,114,0
天津,2012-03-14,0,188,59,110,0
天津,2012-03-15,59,202,59,135,0
天津,2012-03-16,59,165,66,137,0
天津,2012-03-17,66,191,63,142,0
天津,2012-03-18,59,201,59,146,0
天津,2012-03-19,70,177,63,112,0
天津,2012-03-20,61,191,63,137,0
天津,2012-03-21,61,182,64,116,0
天津,2012-03-22,61,162,57,142,0
天津,2012-03-23,59,173,59,133,0
天津,2012-03-24,59,175,59,114,0
天津,2012-03-25,63,165,66,121,0
天津,2012-03-26,59,169,68,112,0
天津,2012-03-27,63,190,64,129,0
天津,2012-03-28,64,177,61,106,0
天津,2012-03-29,61,162,57,142,0
天津,2012-03-30,59,188,57,135,0
天津,2012-03-31,61,218,57,110,0
天津,2012-04-01,61,211,61,139,0
天津,2012-04-02,61,177,61,139,0
天津,2012-04-03,57,159,59,106,0
天津,2012-04-04,57,176,66,118,0
天津,2012-04-05,61,157,57,104,0
天津,2012-04-06,66,140,63,116,0
天津,2012-04-07,63,165,0,123,0
天津,2012-04-08,66,180,57,148,0
天津,2012-04-09,61,158,63,99,0
天津,2012-04-10,59,177,66,110,0
天津,2012-04-11,68,151,61,121,0
天津,2012-04-12,64,146,57,112,0
天津,2012-04-13,63,162,59,104,0
天津,2012-04-14,61,184,57,110,0
天津,2012-04-15,0,163,61,97,0
天津,2012-04-16,63,187,61,118,0
天津,2012-04-17,63,170,57,102,0
天津,2012-04-18,61,139,61,101,0
天津,2012-04-19,59,163,61,112,0
天津,2012-04-20,70,168,57,133,0
天津,2012-04-21,0,166,57,116,0
天津,2012-04-22,59,173,59,127,0
天津,2012-04-23,66,162,59,125,0
天津,2012-04-24,59,176,59,112,0
天津,2012-04-25,0,152,61,116,0
天津,2012-04-26,59,170,0,116,0
天津,2012-04-27,57,162,59,102,0
天津,2012-04-28,57,162,0,118,0
天津,2012-04-29,0,161,57,101,0
天津,2012-04-30,59,190,0,110,0
天津,2012-05-01,61,197,0,102,0
天津,2012-05-02,59,183,59,121,0
天津,2012-05-03,61,168,0,114,0
天津,2012-05-04,59,151,0,110,0
天津,2012-05-05,66,146,59,129,0
天津,2012-05-06,59,159,57,114,0
天津,2012-05-07,64,170,59,114,0
天津,2012-05-08,0,146,57,95,0
天津,2012-05-09,61,168,63,91,0
天津,2012-05-10,61,158,0,102,0
天津,2012-05-11,59,166,64,120,0
天津,2012-05-12,59,172,59,125,0
天津,2012-05-13,57,180,59,97,0
天津,2012-05-14,57,157,63,121,0
天津,2012-05-15,59,191,59,125,0
天津,2012-05-16,66,212,63,114,0
天津,2012-05-17,63,170,68,108,0
天津,2012-05-18,61,208,57,129,0
天津,2012-05-19,61,175,0,125,0
天津,2012-05-20,61,169,0,121,0
天津,2012-05-21,64,172,59,104,0
天津,2012-05-22,59,205,0,104,0
天津,2012-05-23,57,177,70,131,0
天津,2012-05-24,57,194,57,99,0
天津,2012-05-25,0,195,57,112,0
天津,2012-05-26,61,209,0,131,0
天津,2012-05-27,0,152,0,120,0
天津,2012-05-28,57,183,0,121,0
天津,2012-05-29,63,204,59,125,0
天津,2012-05-30,57,183,57,129,0
天津,2012-05-31,63,197,59,114,0
天津,2012-06-01,63,183,0,137,0
天津,2012-06-02,61,176,59,133,0
天津,2012-06-03,61,197,59,127,0
天津,2012-06-04,57,187,61,110,0
天津,2012-06-05,61,177,57,120,0
天津,2012-06-06,74,187,0,112,0
天津,2012-06-07,59,195,0,110,0
天津,2012-06-08,59,179,59,110,0
天津,2012-06-09,64,169,61,140,0
天津,2012-06-10,57,158,61,127,0
